Waypoint(Transform(Location(x=189.669998, y=294.578613, z=0.000000), Rotation(pitch=0.000000, yaw=90.039185, roll=0.000000)))
Waypoint(Transform(Location(x=189.669998, y=294.578613, z=0.000000), Rotation(pitch=0.000000, yaw=90.039185, roll=0.000000)))
Waypoint(Transform(Location(x=189.543900, y=296.184113, z=0.000000), Rotation(pitch=0.000000, yaw=101.107956, roll=0.000000)))
Waypoint(Transform(Location(x=189.076874, y=297.649384, z=0.000000), Rotation(pitch=0.000000, yaw=114.249596, roll=0.000000)))
Waypoint(Transform(Location(x=188.288925, y=298.970093, z=0.000000), Rotation(pitch=0.000000, yaw=127.391243, roll=0.000000)))
Waypoint(Transform(Location(x=187.221359, y=300.077057, z=0.000000), Rotation(pitch=0.000000, yaw=140.532883, roll=0.000000)))
Waypoint(Transform(Location(x=185.821655, y=301.081970, z=0.000000), Rotation(pitch=0.000000, yaw=148.437561, roll=0.000000)))
Waypoint(Transform(Location(x=184.344101, y=301.822388, z=0.000000), Rotation(pitch=0.000000, yaw=158.328064, roll=0.000000)))
Waypoint(Transform(Location(x=180.817245, y=302.500000, z=0.000000), Rotation(pitch=360.000000, yaw=179.921280, roll=0.000000)))
Waypoint(Transform(Location(x=180.817245, y=302.500000, z=0.000000), Rotation(pitch=360.000000, yaw=179.921280, roll=0.000000)))
Waypoint(Transform(Location(x=178.817245, y=302.502747, z=0.000000), Rotation(pitch=360.000000, yaw=179.921280, roll=0.000000)))
Waypoint(Transform(Location(x=176.817245, y=302.505493, z=0.000000), Rotation(pitch=360.000000, yaw=179.921280, roll=0.000000)))
Waypoint(Transform(Location(x=174.817245, y=302.508240, z=0.000000), Rotation(pitch=360.000000, yaw=179.921280, roll=0.000000)))
Waypoint(Transform(Location(x=172.817245, y=302.510986, z=0.000000), Rotation(pitch=360.000000, yaw=179.921280, roll=0.000000)))
Waypoint(Transform(Location(x=170.817261, y=302.513733, z=0.000000), Rotation(pitch=360.000000, yaw=179.921280, roll=0.000000)))
Waypoint(Transform(Location(x=168.817261, y=302.516510, z=0.000000), Rotation(pitch=360.000000, yaw=179.921280, roll=0.000000)))
